"새주소","지번주소","좌표정보","좌표정보","테마코드","콘텐츠 코드","언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)","콘텐츠 명","시도명(텍스트)","구명","동명","산지여부","주 번지","부 번지","기타주소","전화번호","상세정보 값 1","상세정보 값 2","상세정보 값 3","상세정보 값 4","상세정보 값 5","상세정보 값 6","상세정보 값 7","상세정보 값 8","상세정보 값 9","상세정보 값 10","상세정보 값 11","상세정보 값 12","상세정보 값 13","상세정보 값 14","상세정보 값 15","상세정보 값 16","상세정보 값 17","상세정보 값 18","상세정보 값 19","상세정보 값 20","상세정보 이름 1","상세정보 이름 2","상세정보 이름 3","상세정보 이름 4","상세정보 이름 5","상세정보 이름 6","상세정보 이름 7","상세정보 이름 8","상세정보 이름 9","상세정보 이름 10","상세정보 이름 11","상세정보 이름 12","상세정보 이름 13","상세정보 이름 14","상세정보 이름 15","상세정보 이름 16","상세정보 이름 17","상세정보 이름 18","상세정보 이름 19","상세정보 이름 20","좌표데이터","좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint)","선 두께 1~10","테마 선 색상","키워드","등록일","수정일"
"서울특별시 성북구 성북로 146-3","서울특별시 성북구 성북동 263","126.992667300","37.594837000","100008","WF101009","KOR","글로벌빌리지","서울특별시","성북구","","","","","","","글로벌빌리지","복지시설","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 성북구 정릉로12길 41","서울특별시 성북구 정릉동 87-342","127.002674900","37.606723900","100008","WF101010","KOR","도시관리지원센터","서울특별시","성북구","","","","","","","도시관리지원센터","공공기관","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 성북구 동소문로13길 38","서울특별시 성북구 동소문동6가 27-1","127.013535300","37.593554500","100008","WF101011","KOR","동선보건분소","서울특별시","성북구","","","","","","","동선보건분소","보건시설","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 성북구 북악산로 870","서울특별시 성북구 돈암동 45-88","127.018861200","37.598088700","100008","WF101012","KOR","성북구 보건소","서울특별시","성북구","","","","","","","성북구 보건소","보건시설","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 종로구 홍지문2길 20","서울특별시 종로구 홍지동 7-1","126.955196000","37.602308800","100008","WF101016","KOR","성북구청(각과)","서울특별시","성북구","","","","","","","성북구청내 각과(브리지모드)","공공기관","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 성북구 정릉로 242","서울특별시 성북구 정릉동 966-1","127.010661700","37.604878600","100008","WF101017","KOR","아동청소년센터","서울특별시","성북구","","","","","","","아동청소년센터","복지시설","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 성북구 아리랑로19길 117","서울특별시 성북구 정릉동 635-4","127.007676400","37.601139700","100008","WF101021","KOR","정릉(매표소)","서울특별시","성북구","","","","","","","정릉(매표소)","공공기관","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 성북구 동소문로42나길 26-50","서울특별시 성북구 하월곡동 88-352","127.030299000","37.604981600","100008","WF101022","KOR","평생학습지원센터","서울특별시","성북구","","","","","","","평생학습지원센터(3F)","복지시설","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 용산구 녹사평대로 150","서울특별시 용산구 이태원동 34-87","126.990163900","37.532607600","100008","WF101023","KOR","용산구청","서울특별시","용산구","","","","","","","구청 군경합동상황실 B3F","공공기관","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 후암로 32-6","서울특별시 용산구 후암동 244-109","126.978151700","37.548698300","100008","WF101059","KOR","후암동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 신흥로 90","서울특별시 용산구 용산동2가 11","126.985575700","37.546083600","100008","WF101061","KOR","용산2가동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실 등","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 두텁바위로 25","서울특별시 용산구 갈월동 51-19","126.974788500","37.545775600","100008","WF101062","KOR","남영동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실 등","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 청파로49길 6","서울특별시 용산구 청파동2가 91-1","126.969888800","37.545496900","100008","WF101063","KOR","청파동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실 등","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 백범로 350","서울특별시 용산구 문배동 19-2","126.967626800","37.537250200","100008","WF101064","KOR","원효로1동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실 등","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 효창원로8길 3","서울특별시 용산구 산천동 81-1","126.951534100","37.534371500","100008","WF101066","KOR","원효로2동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실 등","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 새창로12길 13","서울특별시 용산구 도원동 4-5","126.957584700","37.538954900","100008","WF101069","KOR","용문동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실 등","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 한강대로38길 28","서울특별시 용산구 한강로2가 165","126.969229500","37.528145600","100008","WF101071","KOR","한강로동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 이촌로71길 24","서울특별시 용산구 이촌동 301-82","126.973283600","37.521210700","100008","WF101072","KOR","이촌1동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 이촌로18길 20","서울특별시 용산구 이촌동 206-2","126.954659200","37.526283700","100008","WF101074","KOR","이촌2동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 보광로 104-6","서울특별시 용산구 이태원동 100-3","126.995063100","37.532515100","100008","WF101075","KOR","이태원1동 주민센터-1","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 회나무로13길 58","서울특별시 용산구 이태원동 255-54","126.990193500","37.541897100","100008","WF101077","KOR","이태원2동 주민센터-1","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 대사관로5길 1","서울특별시 용산구 한남동 685-43","127.000488000","37.534550000","100008","WF101079","KOR","한남동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 서빙고로 279","서울특별시 용산구 서빙고동 134","126.994676900","37.520475800","100008","WF101081","KOR","서빙고동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 장문로 95","서울특별시 용산구 보광동 217-32","127.000178500","37.526315700","100008","WF101083","KOR","보광동 주민센터","서울특별시","용산구","","","","","","","동 주민센터 민원실","주민센터","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 백범로 329","서울특별시 용산구 원효로1가 26-15","126.965904600","37.538751200","100008","WF101085","KOR","보건분소","서울특별시","용산구","","","","","","","보건분소 민원실","보건시설","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 용산구 청파로93길 27","서울특별시 용산구 서계동 227-1","126.967599900","37.553925900","100008","WF101086","KOR","청파도서관","서울특별시","용산구","","","","","","","도서관","문화시설","용산구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"경기도 과천시 대공원광장로 102","","127.014089000","37.436520000","100008","WF110003","KOR","서울대공원","서울특별시","과천시","","","","","","","주매표소","공원","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:57.0","2018-06-14 14:08:57.0"
"서울특별시 마포구 월드컵로 235","서울특별시 마포구 성산동 533-1","126.897538000","37.564744000","100008","WF110016","KOR","평화공원","서울특별시","마포구","","","","","","","평화공원 옥외","공원","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:55.0","2018-06-14 14:08:55.0"
"서울특별시 종로구 새문안로 55","서울특별시 종로구 신문로2가 2-1","126.970586000","37.570384000","100008","WF110034","KOR","역사박물관","서울특별시","종로구","","","","","","","역사박물관","문화시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 용산구 남산공원길 103","서울특별시 용산구 후암동 1-2","126.987625000","37.551407000","100008","WF110048","KOR","남산공원","서울특별시","중구","","","","","","","레이저타워2","공원","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 남산공원길 125-54","서울특별시 중구 예장동 5-6","126.988035000","37.551785000","100008","WF110049","KOR","남산공원","서울특별시","중구","","","","","","","남산타워 옥외","공원","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 15","서울특별시 중구 서소문동 37","126.975649000","37.564328000","100008","WF110050","KOR","서소문청사","서울특별시","중구","","","","","","","별관1동","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 15","서울특별시 중구 서소문동 37","126.974751000","37.564268000","100008","WF110062","KOR","서소문청사","서울특별시","중구","","","","","","","별관2동","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 15","서울특별시 중구 서소문동 37","126.975966000","37.564566000","100008","WF110175","KOR","서소문청사","서울특별시","중구","","","","","","","별관3동","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 15","서울특별시 중구 서소문동 37","126.974429000","37.563730000","100008","WF110180","KOR","서소문청사","서울특별시","중구","","","","","","","별관5동","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 15","서울특별시 중구 서소문동 37","126.974292000","37.564543000","100008","WF110183","KOR","서소문청사","서울특별시","중구","","","","","","","후생동옥외","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 15","서울특별시 중구 서소문동 37","126.974651000","37.564548000","100008","WF110190","KOR","서소문청사","서울특별시","중구","","","","","","","별관5동","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 61","서울특별시 중구 서소문동 37","126.973717000","37.563986000","100008","WF110206","KOR","시립미술관","서울특별시","중구","","","","","","","시립미술관 전시실","문화시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 세종대로 125","서울특별시 중구 태평로1가 60-1","126.976653000","37.567494000","100008","WF110214","KOR","시의회","서울특별시","중구","","","","","","","시의회본관부속동","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 중구 덕수궁길 15","서울특별시 중구 서소문동 37","126.974689000","37.564534000","100008","WF110233","KOR","시의회","서울특별시","중구","","","","","","","시의회별관","공공시설","서울시","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:08:56.0","2018-06-14 14:08:56.0"
"서울특별시 강서구 화곡로44나길 72","서울특별시 강서구 화곡동 980-29","126.851021000","37.549815000","100008","WF111001","KOR","강서구청 화곡동별관","서울특별시","강서구","","","","","","","3층","공공기관","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 강서구 허준로 93","서울특별시 강서구 가양동 1472-4","126.851273000","37.567380000","100008","WF111002","KOR","가양2동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:32.0","2018-06-14 14:09:32.0"
"서울특별시 강서구 허준로 202","서울특별시 강서구 가양동 1488-1","126.860548000","37.561029000","100008","WF111004","KOR","가양3동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 공항대로 561","서울특별시 강서구 염창동 275-12","126.868311000","37.549665000","100008","WF111006","KOR","강서구 보건소","서울특별시","강서구","","","","","","","보건소  1층","보건시설","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 양천로59길 38","서울특별시 강서구 가양동 1488-9","126.859651000","37.560578000","100008","WF111011","KOR","강서구청 가양동별관","서울특별시","강서구","","","","","","","1층","공공기관","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 송정로 45","서울특별시 강서구 공항동 60-28","126.810145000","37.558804000","100008","WF111030","KOR","공항동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 금낭화로24길 5","서울특별시 강서구 방화동 828","126.813811000","37.578673000","100008","WF111032","KOR","길꽃어린이도서관","서울특별시","강서구","","","","","","","길꽃어린이 도서관 (방화5동) 3층","문화시설","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 공항대로 615","서울특별시 강서구 염창동 281-25","126.873312000","37.547290000","100008","WF111033","KOR","꿈꾸는 어린이 도서관","서울특별시","강서구","","","","","","","(여성문화) 3층","문화시설","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 화곡로66길 105","서울특별시 강서구 등촌동 666-53","126.858962000","37.556058000","100008","WF111034","KOR","등촌1동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 화곡로63길 96","서울특별시 강서구 등촌동 705-4","126.847915000","37.558971000","100008","WF111037","KOR","등촌3동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 강서로47길 54","서울특별시 강서구 내발산동 681-5","126.833140000","37.553096000","100008","WF111039","KOR","발산1동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 개화동로23길 20","서울특별시 강서구 방화동 645-11","126.806735000","37.566699000","100008","WF111040","KOR","방화2동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 금낭화로24길 5","서울특별시 강서구 방화동 828","126.813546000","37.578705000","100008","WF111041","KOR","방화3동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 공항대로61길 60","서울특별시 강서구 염창동 270-1","126.867098000","37.553380000","100008","WF111043","KOR","염창동 정보도서관","서울특별시","강서구","","","","","","","1층","공공기관","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
"서울특별시 강서구 양천로67가길 63","서울특별시 강서구 염창동 53-1","126.870919000","37.553816000","100008","WF111044","KOR","염창동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:33.0","2018-06-14 14:09:33.0"
